Color,Hue
#97a5e6,229.3670886
#bec674,65.85365854
#b49be0,261.7391304
#b8f1b1,113.4375
#d691cd,307.826087
#85ecbf,153.7864078
#ec8fb5,335.483871
#3eeaef,181.6949153
#ee878b,357.6699029
#6ff3e3,172.7272727
#e58e70,15.38461538
#33d4d1,178.8819876
#f6a679,21.6
#40b8e1,195.2795031
#da955d,26.88
#56ade3,202.9787234
#f0be7c,34.13793103
#84b0ea,214.1176471
#cb9c5c,34.59459459
#6bd8f8,193.6170213
#e99588,8.041237113
#31b7a3,171.0447761
#ebb1f0,295.2380952
#69b47f,137.6
#eeacd3,324.5454545
#52be98,158.8888889
#d18faf,330.9090909
#84d099,136.5789474
#dcc0f7,270.5454545
#90b16c,88.69565217
#bfa0d0,278.75
#acd590,95.65217391
#c4c2f0,242.6086957
#a7a65f,59.16666667
#80c8f6,203.3898305
#cab068,44.08163265
#2bbcce,186.6257669
#e5a37c,22.28571429
#62d7e1,184.7244094
#c89369,26.52631579
#87e9e5,177.5510204
#eda1b0,348.1578947
#68d1be,169.1428571
#fab899,19.17525773
#47b4b5,180.5454545
#fae09f,42.85714286
#5eb7cf,192.7433628
#e1ea9f,67.2
#a5a0c8,247.5
#ddc485,42.95454545
#7db2cf,201.2195122
#f2cf9c,35.58139535
#8fa6c8,215.7894737
#b6a066,43.5
#b1c8eb,216.2068966
#ddb182,30.98901099
#9be0e6,184.8
#cf928c,5.373134328
#a2ebc7,150.4109589
#c79fbe,313.5
#6bb391,151.6666667
#ebc1e0,315.7142857
#86ceac,151.6666667
#f2c0ce,343.2
#5db3a3,168.8372093
#eab2ae,4
#b0f7e9,168.1690141
#d6a5b2,344.0816327
#c9efc6,115.6097561
#ba9aa3,343.125
#afe6db,168
#dcac92,21.08108108
#72b6bc,184.8648649
#eed6b3,35.59322034
#85aab6,194.6938776
#bbbc81,61.01694915
#dfcfe7,280
#a0b68a,90
#b5e0f2,197.704918
#b99784,21.50943396
#dbf6f0,166.6666667
#7ea78b,139.0243902
#fddbd0,14.66666667
#8bb598,138.5714286
#efd5dc,343.8461538
#a5d1b3,139.0909091
#aca9bd,249
#e7ecd0,70.71428571
#9ec8da,198
#c7b794,41.17647059
#cbd5e7,218.5714286
#a1a38b,65
#c6e1db,166.6666667
#c3aea0,24
#8dc3b8,167.7777778
#e8c6bb,14.66666667
#87a9a2,167.6470588
#d2b9c0,343.2
#cfcfb1,60
#b5c9b8,129
